Nombre Original PDF;Gama Extraída;Peso Sugerido Web;PVP;Ruta de Foto Asignada por el Bot;Foto Correcta? (SI/NO);Ruta CORRECTA de Foto (si la anterior es NO)
Lenda Cazuela Silvestre;Lenda;380 g;4,5;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación humeda\Gama Lenda Foddie\Foodie-Cazuela-Silvestre.png;;
Lenda Meloso Lechón;Lenda;380 g;4,5;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación humeda\Gama Lenda Foddie\Foodie-Meloso-de-Lechon.png;;
Lenda Pavo Provenzal;Lenda;380 g;4,5;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación humeda\Gama Lenda Foddie\Foodie-Pavo-Provenzal.png;;
Lenda Tapenade Granjero;Lenda;380 g;4,5;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación humeda\Gama Lenda Foddie\Foodie-Tapenade-Granjero.png;;
Lenda Aceite Atún;Lenda;250ml;10,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Aceites\Aceite Atún.webp;;
Lenda Rabo de Toro;Lenda;15cm;3,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Snack\Rabo-Toro.jpg;;
Lenda Urban Farm Flavour (Pollo);Lenda;2 kg;12,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Urban\LENDA-URBAN-FARM-FLAVOUR.png;;
Lenda Urban Farm Flavour (Pollo);Lenda;10 kg;33,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Urban\LENDA-URBAN-FARM-FLAVOUR.png;;
Lenda Urban Farm Flavour (Pollo);Lenda;15 kg;47,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Urban\LENDA-URBAN-FARM-FLAVOUR.png;;
"Lenda Marine Flavour
(Pescado Azul)";Lenda;2 kg;13,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Urban\LENDA-URBAN-MARINE-FLAVOUR.png;;
"Lenda Marine Flavour
(Pescado Azul)";Lenda;10 kg;36,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Urban\LENDA-URBAN-MARINE-FLAVOUR.png;;
"Lenda Marine Flavour
(Pescado Azul)";Lenda;15 kg;51,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Urban\LENDA-URBAN-MARINE-FLAVOUR-15KG.png;;
Lenda Meadow Taste (Cordero);Lenda;2 kg;14,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Urban\LENDA-URBAN-MEADOW-TASTE.png;;
Lenda Meadow Taste (Cordero);Lenda;10 kg;36,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Urban\LENDA-URBAN-MEADOW-TASTE.png;;
Lenda Meadow Taste (Cordero);Lenda;15 kg;51,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Urban\LENDA-URBAN-MEADOW-TASTE.png;;
Lenda Flavoured Diet (Pollo);Lenda;2 kg;13,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Urban\LENDA-URBAN-FLAVOURED-DIET.png;;
Lenda Flavoured Diet (Pollo);Lenda;10 kg;33,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Urban\LENDA-URBAN-FLAVOURED-DIET.png;;
Lenda Flavoured Diet (Pollo);Lenda;15 kg;49,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Urban\LENDA-URBAN-FLAVOURED-DIET.png;;
Lenda Puppy (Pollo);Lenda;2 kg;15,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Urban\LENDA-URBAN-FIRST-BITES-PUPPY.png;;
Lenda Puppy (Pollo);Lenda;10 kg;40,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Urban\LENDA-URBAN-FIRST-BITES-PUPPY.png;;
Lenda Country Meat;Lenda;20 kg;59,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lc\Lc_countrymeat_20kg_Lenda.webp;;
Lenda Meat & Fish;Lenda;20 kg;60,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lc\Lc_meatandfish_20kg_Lenda.webp;;
Lenda Performance (Alta Energía);Lenda;20 kg;62,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lc\LENDA-LC-PERFORMANCE.jpg;;
Lenda Puppy;Lenda;20 kg;69,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lc\LENDA-LC-PUPPY.jpg;;
Lenda Indoor & Sterilized;Lenda;2 kg;15,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Gatos\Alimentación seca\Gama Urban Gatos\Lenda-Urban-GATO-7Kg.png;;
